Name,Date time,Maximum Temperature,Minimum Temperature,Temperature,Wind Chill,Heat Index,Precipitation,Snow,Snow Depth,Wind Speed,Wind Direction,Wind Gust,Visibility,Cloud Cover,Relative Humidity,Conditions
"45.5898, -122.5951",06/04/2020 12:00:00,65,65,65,,,0,0,0,10.2,290,16.1,9.9,52.9,50.36,Partially cloudy
"45.5898, -122.5951",06/04/2020 13:00:00,69.1,69.1,69.1,,,0,0,0,6.9,340,,9.9,52.9,40.31,Partially cloudy
"45.5898, -122.5951",06/04/2020 14:00:00,69.2,69.2,69.2,,,0,0,0,9.2,319,,9.9,65.6,37.67,Partially cloudy
"45.5898, -122.5951",06/04/2020 15:00:00,71.1,71.1,71.1,,,0,0,0,8,311,20.8,9.9,52.9,35.33,Partially cloudy
"45.5898, -122.5951",06/04/2020 16:00:00,71.9,71.9,71.9,,,0,0,0,11.3,321,18.3,9.9,52.9,36.68,Partially cloudy
"45.5898, -122.5951",06/04/2020 17:00:00,72,72,72,,,0,0,0,10.4,310,,9.9,26.1,34.18,Partially cloudy
"45.5898, -122.5951",06/04/2020 18:00:00,71.9,71.9,71.9,,,0,0,0,8.1,339,19.7,9.9,35,36.74,Partially cloudy
"45.5898, -122.5951",06/04/2020 19:00:00,70.1,70.1,70.1,,,0,0,0,14.9,320,20.8,9.9,35,42.26,Partially cloudy
"45.5898, -122.5951",06/04/2020 20:00:00,66.9,66.9,66.9,,,0,0,0,12.5,320,,9.9,52.9,50.38,Partially cloudy
"45.5898, -122.5951",06/04/2020 21:00:00,65,65,65,,,0,0,0,12.5,320,,9.9,52.9,53.72,Partially cloudy
"45.5898, -122.5951",06/04/2020 22:00:00,63,63,63,,,0,0,0,11.3,320,16.1,9.9,84.8,57.72,Overcast
"45.5898, -122.5951",06/04/2020 23:00:00,62.1,62.1,62.1,,,0,0,0,11.2,320,,9.9,95.3,59.71,Overcast
"45.5898, -122.5951",06/05/2020 00:00:00,60.2,60.2,60.2,,,0,0,0,9.1,301,,9.9,95.3,66.03,Overcast
"45.5898, -122.5951",06/05/2020 01:00:00,57.9,57.9,57.9,,,0,0,0,7,320,,9.9,0,71.66,Clear
"45.5898, -122.5951",06/05/2020 02:00:00,57,57,57,,,0,0,0,4.7,320,,9.9,84.8,71.63,Overcast
"45.5898, -122.5951",06/05/2020 03:00:00,56.9,56.9,56.9,,,0,0,0,8,320,,9.9,0,74.16,Clear
"45.5898, -122.5951",06/05/2020 04:00:00,56.1,56.1,56.1,,,0,0,0,5.7,320,,9.9,95.3,74.01,Overcast
"45.5898, -122.5951",06/05/2020 05:00:00,56,56,56,,,0,0,0,3.4,339,,9.9,89.2,74.09,Overcast
"45.5898, -122.5951",06/05/2020 06:00:00,56,56,56,,,0,0,0,3.4,314,,9.9,89.2,74.03,Overcast
"45.5898, -122.5951",06/05/2020 07:00:00,56,56,56,,,0,0,0,7.9,320,,9.9,89.2,74.08,Overcast
"45.5898, -122.5951",06/05/2020 08:00:00,56.1,56.1,56.1,,,0,0,0,5.8,310,,9.9,57.6,71.54,Partially cloudy
"45.5898, -122.5951",06/05/2020 09:00:00,59,59,59,,,0,0,0,0.2,358,,9.9,57.4,66.62,Partially cloudy
"45.5898, -122.5951",06/05/2020 10:00:00,60.2,60.2,60.2,,,0,0,0,4.7,301,,9.9,57.4,61.83,Partially cloudy
"45.5898, -122.5951",06/05/2020 11:00:00,62,62,62,,,0,0,0,3.4,240,,9.9,57.4,59.89,Partially cloudy
"45.5898, -122.5951",06/05/2020 12:00:00,64.1,64.1,64.1,,,0,0,0,5.8,236,,9.9,57.4,55.8,Partially cloudy
"45.5898, -122.5951",06/05/2020 13:00:00,65.9,65.9,65.9,,,0,0,0,5.9,301,,9.9,57.4,52.24,Partially cloudy
"45.5898, -122.5951",06/05/2020 14:00:00,66.8,66.8,66.8,,,0,0,0,5.8,320,,9.9,57.4,52.33,Partially cloudy
"45.5898, -122.5951",06/05/2020 15:00:00,69.2,69.2,69.2,,,0,0,0,3.3,18,,9.9,57.4,46.78,Partially cloudy
"45.5898, -122.5951",06/05/2020 16:00:00,69.2,69.2,69.2,,,0,0,0,0.2,1,,9.9,93.2,45.08,Overcast
"45.5898, -122.5951",06/05/2020 17:00:00,65.9,65.9,65.9,,,0,0,0,7.9,330,,9.9,73.6,54.17,Partially cloudy
"45.5898, -122.5951",06/05/2020 18:00:00,61.1,61.1,61.1,,,0.04,0,0,0.2,9,,7,62.1,80.34,"Rain, Partially cloudy"
"45.5898, -122.5951",06/05/2020 19:00:00,60.2,60.2,60.2,,,0.01,0,0,3.2,9,,9.6,60.6,82.91,"Rain, Partially cloudy"
"45.5898, -122.5951",06/05/2020 20:00:00,61.1,61.1,61.1,,,0,0,0,0,0,,9.9,55.1,77.34,Partially cloudy
"45.5898, -122.5951",06/05/2020 21:00:00,57,57,57,,,0.29,0,0,7.8,342,,4.9,60.5,86.51,"Rain, Partially cloudy"
"45.5898, -122.5951",06/05/2020 22:00:00,56.9,56.9,56.9,,,0.04,0,0,9,320,,9.9,57.1,74.02,"Rain, Partially cloudy"
